leaf_index	ID	Score	Score_smoothed	Normalized_Index	Normalized_Index_smoothed
0	NZ_CP014839.1_3861	0.9787430683918669	0.9787430683918669	0.9982266548443657	0.9982266548443657
1	SCSK01000063.1_37	0.977634011090573	0.977634011090573	0.9981133207554717	0.9981133207554717
2	JAGXBI010000108.1_6	0.977634011090573	0.977634011090573	0.9981199874665831	0.9981199874665831
3	NZ_CP009553.3_120	0.9787430683918669	0.9787430683918669	0.9982066547110314	0.9982066547110314
4	NZ_CP011807.3_4477	0.9800369685767099	0.9800369685767099	0.9982999886665911	0.9982999886665911
5	NZ_CP010897.2_4731	0.9785582255083178	0.9785582255083178	0.99819998799992	0.99819998799992
6	NZ_CABPSQ010000007.1_68	0.9791127541589649	0.9791127541589649	0.9982399882665884	0.9982399882665884
7	NZ_CP010431.2_4923	0.9813308687615526	0.9813308687615526	0.9983866559110394	0.9983866559110394
8	NZ_CABPSN010000009.1_150	0.9787430683918669	0.9787430683918669	0.9982133214221428	0.9982133214221428
9	NZ_CABPSA010000002.1_160	0.9796672828096118	0.9796672828096118	0.9982866552443683	0.9982866552443683
10	NZ_CABPSP010000005.1_148	0.9794824399260628	0.9794824399260628	0.9982666551110341	0.9982666551110341
11	NZ_CP011253.3_4852	0.977634011090573	0.977634011090573	0.9981066540443603	0.9981066540443603
12	NZ_CABPRV010000011.1_141	0.978373382624769	0.978373382624769	0.9981866545776972	0.9981866545776972
13	NZ_CABPSB010000006.1_197	0.9700554528650648	0.9700554528650648	0.9967733118220788	0.9967733118220788
14	NZ_CABPSC010000022.1_37	0.9750462107208873	0.9750462107208873	0.9978999859999067	0.9978999859999067
15	NZ_CP010310.2_4915	0.9715341959334566	0.9715341959334566	0.9970999806665378	0.9970999806665378
16	NZ_CABPSJ010000001.1_1112	0.9805914972273567	0.9805914972273567	0.9983266555110367	0.9983266555110367
17	NZ_CABPSM010000006.1_149	0.9796672828096118	0.9796672828096118	0.9982799885332568	0.9982799885332568
18	NZ_CP047385.1_4767	0.979297597042514	0.979297597042514	0.9982533216888113	0.9982533216888113
19	NZ_CP013481.2_119	0.9770794824399262	0.9770794824399262	0.9980733204888033	0.9980733204888033
20	NZ_JAELTP010000008.1_4	0.9685767097966729	0.9685767097966729	0.9963399755998373	0.9963399755998373
21	NZ_CABPST010000007.1_62	0.9750462107208873	0.9750462107208873	0.9978933192887952	0.9978933192887952
22	NZ_CABPRU010000006.1_155	0.9754158964879853	0.9754158964879853	0.9979199861332408	0.9979199861332408
23	NZ_CABPSL010000018.1_65	0.9759704251386322	0.9759704251386322	0.9979999866665777	0.9979999866665777
24	NZ_CABPSH010000007.1_62	0.9743068391866914	0.9743068391866914	0.9977866519110128	0.9977866519110128
25	NZ_CABPSK010000002.1_146	0.9695009242144177	0.9695009242144177	0.996579977199848	0.996579977199848
26	NZ_CABPSF010000009.1_38	0.9698706099815158	0.9698706099815158	0.9967333115554103	0.9967333115554103
27	NZ_NGUQ01000007.1_582	0.9672828096118301	0.9672828096118301	0.9959599730664871	0.9959599730664871
28	NZ_CP013480.3_5274	0.9652495378927912	0.9652495378927912	0.9953733024886833	0.9953733024886833
29	NZ_CABPRZ010000024.1_3	0.9741219963031423	0.9741219963031423	0.9977199847998987	0.9977199847998987
30	NZ_JACBNX010000011.1_38	0.9935304990757856	0.9935304990757856	0.9994399962666418	0.9994399962666418
31	NZ_JGVW01000049.1_16	0.9951940850277264	0.9951940850277264	0.9996199974666498	0.9996199974666498
32	NZ_CP009832.1_3125	0.9972273567467652	0.9972273567467652	0.9999199994666631	0.9999199994666631
33	NZ_CABVPL010000026.1_43	0.9953789279112755	0.9953789279112755	0.999673331155541	0.999673331155541
34	NZ_CP013435.1_2947	0.9931608133086878	0.9931608133086878	0.9993533290221934	0.9993533290221934
35	NZ_CP009631.1_824	0.9937153419593346	0.9937153419593346	0.9994466629777532	0.9994466629777532
36	NZ_CABVPP010000075.1_26	0.9931608133086878	0.9931608133086878	0.9993599957333049	0.9993599957333049
37	NZ_CABVPR010000113.1_8	0.9931608133086878	0.9931608133086878	0.9993333288888593	0.9993333288888593
38	NZ_JPGL01000024.1_72	0.9948243992606286	0.9948243992606286	0.9995733304888699	0.9995733304888699
39	NZ_CADFEN010000006.1_355	0.9968576709796674	0.9968576709796674	0.9998533323555491	0.9998533323555491
40	NZ_CP013373.1_3007	0.9968576709796674	0.9968576709796674	0.9998399989333262	0.9998399989333262
41	NZ_CP045994.1_3157	0.9963031423290203	0.9963031423290203	0.9997666651111008	0.9997666651111008
42	NZ_UAQZ01000015.1_461	0.9964879852125693	0.9964879852125693	0.9998066653777692	0.9998066653777692
43	NZ_CP060039.1_385	0.9966728280961183	0.9966728280961183	0.9998133320888806	0.9998133320888806
44	NZ_LDWR01000013.1_2	0.9990757855822551	0.9990757855822551	0.9999799998666657	0.9999799998666657
45	NZ_CM003768.1_2372	0.9939001848428837	0.9939001848428837	0.9994733298221988	0.9994733298221988
46	NZ_CABVPX010000034.1_48	0.9957486136783734	0.9957486136783734	0.9996933312888753	0.9996933312888753
47	NZ_QTQI01000025.1_24	0.9975970425138633	0.9975970425138633	0.9999533330222201	0.9999533330222201
48	NZ_CADFDK010000012.1_183	0.9946395563770796	0.9946395563770796	0.9995399969333129	0.9995399969333129
49	NZ_CADFEI010000020.1_69	0.9939001848428837	0.9939001848428837	0.999459996399976	0.999459996399976
50	NZ_CP024902.1_3180	0.9957486136783734	0.9885324924794318	0.9996999979999867	0.9985189443746618
51	NZ_CP011503.1_1058	0.9968576709796674	0.9883621470769455	0.9998666657777718	0.9985511014517874
52	NZ_CADFDU010000013.1_72	0.9944547134935305	0.9882497915987098	0.9995133300888672	0.9985785526151875
53	NZ_CP013420.1_2361	0.9861367837338263	0.9847232793302165	0.9986599910666071	0.9985891409210703
54	NZ_CP020737.1_3249	0.9848428835489835	0.9848428835489835	0.9985799905332702	0.9985964612313104
55	NZ_CADFEB010000004.1_43	0.9839186691312386	0.9849189953245626	0.9984866565777105	0.9986001213864303
56	NZ_CP013443.1_3296	0.9926062846580407	0.9883621470769455	0.9992533283555224	0.998620775118893
57	NZ_JAAOXM010000009.1_113	0.9940850277264327	0.9884491319633214	0.9994799965333102	0.9986450890064758
58	NZ_CP012981.1_657	0.9933456561922366	0.9885143706281032	0.9993999959999733	0.9986649584199842
59	NZ_MDEQ02000015.1_120	0.9961182994454713	0.9885397412199629	0.9997599983999893	0.9986952854195498
60	NZ_CADFDB010000006.1_118	0.9961182994454713	0.988561487441557	0.9997533316888779	0.9987240437812068
61	NZ_CABVQK010000011.1_152	0.9953789279112755	0.9885651118118227	0.9996466643110954	0.9987511027851296
62	NZ_CABVQC010000090.1_27	0.9950092421441776	0.9885759849226197	0.9995999973333155	0.9987803840260895
63	NZ_NBYX01000017.1_76	0.9970425138632162	0.9885542387010258	0.9998866659111061	0.9988137175816465
64	NZ_CP016442.1_2652	0.9916820702402958	0.9885143706281034	0.9991933279555197	0.9988611688783805
